id,article_id,question,qa_type,answerable,question_words,question_chars,answer_words,num_source_articles
50356_2,50356,Tình hình phát triển các dòng xe cỡ nhỏ của Mazda hiện nay diễn ra như thế nào?,event_summary,True,18,79,69,1
50356_3,50356,Điều gì khiến Mazda3 đứng trước nguy cơ bị khai tử hoặc phải thay đổi hoàn toàn?,cause_effect,True,17,80,58,1
50356_4,50356,Deepal và Changan đóng vai trò gì trong chiến lược xe điện của Mazda?,entity_role,True,14,69,61,1
50356_5,50356,Mazda 3e dự kiến sẽ được bán với mức giá bao nhiêu tại từng thị trường?,unanswerable,False,16,71,0,1
148770_1,148770,Dự án Da Nang Downtown được xây dựng tại khu vực nào của Đà Nẵng?,factoid,True,15,65,29,1
148770_2,148770,Dự án Da Nang Downtown bao gồm những hạng mục chính nào và điểm nhấn kiến trúc của dự án là gì?,event_summary,True,22,95,69,1
148770_3,148770,Điều gì khiến Đà Nẵng trở thành thành phố trực thuộc Trung ương có diện tích lớn nhất cả nước?,cause_effect,True,20,94,27,1
148770_4,148770,Tòa tháp 69 tầng được kỳ vọng đóng vai trò gì đối với khu vực miền Trung?,entity_role,True,17,73,44,1
148770_5,148770,Đúng hay sai: Tòa tháp trong dự án Da Nang Downtown sẽ là công trình cao nhất Việt Nam khi hoàn thành?,claim_verification,True,22,102,23,1
95886_1,95886,Dương Minh Hải là học sinh lớp 12 của trường THPT nào?,factoid,True,12,54,5,1
95886_2,95886,Chương trình tư vấn truyền hình trực tuyến của Báo Thanh Niên về chọn ngành đăng ký xét tuyển diễn ra với những nội dung chính nào?,event_summary,True,27,131,72,1
95886_3,95886,Vì sao ngành quản lý tài nguyên và môi trường dù không phải ngành 'hot' nhưng vẫn có cơ hội việc làm tốt sau khi tốt nghiệp?,cause_effect,True,27,124,54,1
95886_4,95886,Thí sinh nên làm gì khi ngành yêu thích có điểm chuẩn quá cao so với khả năng của mình?,cause_effect,True,20,87,53,1
95886_5,95886,"Đúng hay sai: Theo quy định hiện hành, thí sinh chỉ được đăng ký tối đa 5 nguyện vọng xét tuyển đại học?",claim_verification,True,23,104,37,1
106745_1,106745,Hộ kinh doanh bán lẻ thủy sản tươi sống có doanh thu cao nhất thuộc địa bàn Chi cục Thuế khu vực nào?,factoid,True,23,101,16,1
106745_2,106745,Thực trạng nộp thuế của các hộ kinh doanh có doanh thu hàng trăm tỉ đồng tại Việt Nam hiện nay diễn ra như thế nào?,event_summary,True,26,115,127,1
106745_3,106745,Vì sao hộ kinh doanh bán lẻ thủy sản tươi sống doanh thu hàng trăm tỉ đồng lại thường không có hóa đơn?,cause_effect,True,23,103,26,1
106745_4,106745,Luật sư Trần Xoa đánh giá như thế nào về vai trò và ý nghĩa của việc chuyển đổi hộ kinh doanh lớn sang mô hình doanh nghiệp?,entity_role,True,28,124,76,1
106745_5,106745,Cơ quan thuế có biện pháp xử phạt cụ thể nào đối với các hộ kinh doanh đủ điều kiện kê khai nhưng vẫn nộp thuế khoán không?,unanswerable,False,28,123,0,1
90345_1,90345,Show thời trang Tinh hoa cố đô diễn ra tại địa điểm nào?,factoid,True,13,56,8,1
90345_2,90345,Bộ sưu tập Nguyệt Hồi của nhà thiết kế Kiên Vũ được xây dựng dựa trên ý tưởng gì và bao gồm những dòng trang phục nào?,event_summary,True,27,118,50,1
90345_3,90345,Vì sao nhà thiết kế Kiên Vũ lại chọn H'Hen Niê và Thủy Tiên cho vị trí vedette và mở màn?,cause_effect,True,21,89,43,1
90345_4,90345,"Ngoài H'Hen Niê và Thủy Tiên, những ai khác góp mặt trong show diễn Tinh hoa cố đô?",entity_role,True,18,83,34,1
90345_5,90345,Hoa hậu H'Hen Niê cảm nhận như thế nào khi được mời làm vedette cho bộ sưu tập Nguyệt Hồi?,unanswerable,False,20,90,0,1
225322_1,225322,Quang Hải đang thi đấu cho câu lạc bộ nào tại nước ngoài vào thời điểm đợt tập trung?,factoid,True,19,85,14,1
225322_2,225322,Đợt hội quân tháng 3 của tuyển Việt Nam dưới thời HLV Troussier được tổ chức ra sao?,event_summary,True,18,84,53,1
225322_3,225322,"Vì sao các câu lạc bộ nước ngoài không cho Quang Hải, Công Phượng và Văn Toàn về tập trung cùng tuyển Việt Nam?",cause_effect,True,24,111,36,1
225322_4,225322,Tình hình thi đấu ở nước ngoài của Quang Hải và Công Phượng khác nhau như thế nào?,comparison,True,18,82,53,1
225322_5,225322,HLV Troussier nhận xét cụ thể gì về phong độ hiện tại của Quang Hải tại Pau?,unanswerable,False,17,76,0,1
114604_1,114604,Hệ thống nhà thuốc Long Châu và STADA Pymepharco đã triển khai những hoạt động kiểm tra sức khỏe cụ thể nào cho người dân trong sự kiện hợp tác?,factoid,True,30,144,27,1
114604_2,114604,Chương trình hợp tác giữa Long Châu và STADA Pymepharco tập trung giải quyết vấn đề sức khỏe nào và hướng đến thông điệp gì cho cộng đồng?,event_summary,True,28,138,51,1
114604_3,114604,"Tình trạng thừa cân, béo phì gây ra những hệ lụy gì cho sức khỏe cá nhân và xã hội theo cảnh báo của giới y khoa?",cause_effect,True,27,113,60,1
114604_4,114604,Hệ thống nhà thuốc Long Châu đóng vai trò gì trong việc đưa kiến thức y khoa về quản lý cân nặng đến với người dân?,entity_role,True,26,115,65,1
114604_5,114604,"Sau các chương trình truyền thông và đào tạo, doanh thu từ các sản phẩm hỗ trợ giảm cân tại hệ thống nhà thuốc Long Châu đã tăng trưởng như thế nào?",unanswerable,False,32,148,0,1
160104_1,160104,Vai diễn nào khiến Kiều Anh cảm thấy tiếc nuối nhất trong sự nghiệp diễn xuất?,factoid,True,16,78,17,1
160104_2,160104,Kiều Anh đã trải qua hành trình chuyển từ sự nghiệp múa sang diễn xuất như thế nào?,event_summary,True,18,83,72,1
160104_3,160104,Vì sao Kiều Anh quyết định nhận vai Phương trong phim Gia đình mình vui bất thình lình dù nhân vật khá nhạt nhoà?,cause_effect,True,24,113,26,1
160104_4,160104,Vai Phương của Kiều Anh và vai Hà của Lan Phương khác nhau thế nào trong cùng bộ phim?,comparison,True,19,86,45,1
160104_5,160104,Mạnh Trường nhận xét gì về khả năng diễn xuất của Kiều Anh khi đóng cặp cùng nhau?,unanswerable,False,18,82,0,1
253647_1,253647,Chiếc Mercedes-Benz C180 đang được rao bán với giá rẻ bất ngờ thuộc phiên bản nào và được sản xuất vào năm bao nhiêu?,factoid,True,24,117,11,1
253647_2,253647,Tình trạng thực tế về ngoại thất và nội thất của chiếc Mercedes-Benz C180 đã qua hơn hai thập kỷ sử dụng hiện nay ra sao?,event_summary,True,26,121,42,1
253647_3,253647,Mức giá hiện tại của chiếc Mercedes-Benz C180 cũ đang được so sánh ngang bằng với mẫu xe tay ga nào trên thị trường?,comparison,True,24,116,18,1
253647_4,253647,Vì sao những người lần đầu mua ô tô hoặc có điều kiện kinh tế hạn hẹp được khuyên không nên chọn mua các mẫu xe sang Đức đã qua sử dụng quá lâu năm?,cause_effect,True,35,148,27,1
253647_5,253647,Chủ nhân hiện tại của chiếc Mercedes-Benz C180 này là ai và lý do cá nhân nào khiến họ quyết định bán lại chiếc xe với mức giá rẻ bất ngờ như vậy?,unanswerable,False,33,146,0,1
64976_1,64976,Những doanh nghiệp khởi nghiệp sáng tạo nào tại Khu Công nghệ cao đã phát triển vươn tầm thế giới?,factoid,True,20,98,24,1
64976_2,64976,Hội thảo về phát triển hệ sinh thái Drone/UAV thông minh đặt ra những mục tiêu chính nào?,event_summary,True,18,89,51,1
64976_3,64976,Điều gì thúc đẩy Việt Nam cần phát triển hệ sinh thái Drone/UAV trong giáo dục và công nghiệp?,cause_effect,True,19,94,78,1
64976_4,64976,Ban quản lý Khu Công nghệ cao đóng vai trò gì trong việc phát triển hệ sinh thái Drone/UAV?,entity_role,True,19,91,68,1
64976_5,64976,Có bao nhiêu đại biểu tham dự hội thảo về phát triển hệ sinh thái Drone/UAV?,unanswerable,False,16,76,0,1
44651_1,44651,Fidel Castro đến thăm Khu chính phủ cách mạng lâm thời Cộng hòa miền Nam Việt Nam tại địa điểm nào?,factoid,True,21,99,5,1
44651_2,44651,Chuyến thăm vùng giải phóng Quảng Trị năm 1973 của Fidel Castro diễn ra trong hoàn cảnh như thế nào?,event_summary,True,20,100,106,1
44651_3,44651,"Điều gì đã thúc đẩy Cuba xây dựng bệnh viện Việt Nam - Cuba tại Đồng Hới, Quảng Bình?",cause_effect,True,19,85,58,1
44651_4,44651,Cuba đã hỗ trợ Việt Nam những công trình cụ thể nào sau chuyến thăm lịch sử của Fidel Castro?,entity_role,True,20,93,67,1
44651_5,44651,Cậu bé bị cụt hai tay mà Fidel Castro ôm tại Đông Hà sau này có cuộc sống ra sao?,unanswerable,False,20,81,0,1
246182_1,246182,Ai có mặt tại hiện trường để chỉ đạo công tác tìm kiếm cứu hộ vụ lật tàu trên vịnh Hạ Long?,factoid,True,22,91,46,1
246182_2,246182,Quá trình cứu hộ và trục vớt tàu du lịch bị lật trên vịnh Hạ Long diễn ra như thế nào?,event_summary,True,21,86,80,1
246182_3,246182,Phó Thủ tướng Trần Hồng Hà yêu cầu gì đối với lực lượng cứu hộ vụ lật tàu?,entity_role,True,18,74,82,1
246182_4,246182,Điều gì khiến công tác tìm kiếm nạn nhân vụ lật tàu trở nên khó khăn?,cause_effect,True,16,69,23,1
246182_5,246182,Nguyên nhân chính xác khiến tàu du lịch bị lật trên vịnh Hạ Long là gì?,unanswerable,False,16,71,0,1
157600_1,157600,Ai là đạo diễn của bộ phim truyền hình 'Đi về phía lửa'?,factoid,True,13,56,13,1
157600_2,157600,Bộ phim 'Đi về phía lửa' khai thác đề tài gì và quá trình sản xuất có điều gì đặc biệt?,event_summary,True,21,87,56,1
157600_3,157600,Phòng cảnh sát PCCC và CNCH thành phố Đà Nẵng đóng vai trò gì trong quá trình sản xuất phim 'Đi về phía lửa'?,entity_role,True,24,109,46,1
157600_4,157600,Vì sao đạo diễn Trần Thanh Huy yêu cầu sử dụng lửa thật thay vì hiệu ứng kỹ xảo trong phim 'Đi về phía lửa'?,cause_effect,True,25,108,34,1
157600_5,157600,Các diễn viên chính đóng vai lính cứu hỏa trong phim 'Đi về phía lửa' là những ai?,unanswerable,False,18,82,0,1
56336_1,56336,Ai là người đứng đầu Alphabet đã đưa ra quyết định sa thải nhân viên?,factoid,True,15,69,24,1
56336_2,56336,Đợt sa thải lớn tại Alphabet diễn ra như thế nào và trong bối cảnh gì?,event_summary,True,16,70,57,1
56336_3,56336,Điều gì khiến Alphabet phải cắt giảm lực lượng lao động dù trước đó từng tuyển dụng rầm rộ?,cause_effect,True,19,91,35,1
56336_4,56336,"So với các công ty Big Tech khác, quy mô sa thải của Alphabet ở mức nào?",comparison,True,17,72,35,1
56336_5,56336,Đúng hay sai: Nhân viên bị sa thải tại Alphabet không nhận được bất kỳ quyền lợi nào sau khi nghỉ việc?,claim_verification,True,22,103,54,1
5446_1,5446,Ông Nguyễn Trung Chính đã có cuộc gặp với lãnh đạo của tập đoàn nào để thảo luận về hợp tác chiến lược trong lĩnh vực AI và bán dẫn?,factoid,True,30,132,3,1
5446_2,5446,Khoa Vi Điện tử và Viễn Thông mới thành lập của Trường Đại học CMC tập trung vào những định hướng đào tạo nào?,event_summary,True,24,110,44,1
5446_3,5446,Tập đoàn Synopsys đóng vai trò gì trong chương trình đào tạo của Trường Đại học CMC?,entity_role,True,17,84,49,1
5446_4,5446,Việc Trường Đại học CMC chọn thiết kế vi mạch làm định hướng đào tạo chính nhằm mục đích gì?,cause_effect,True,20,92,37,1
5446_5,5446,Mức lương khởi điểm của sinh viên tốt nghiệp Khoa Vi Điện tử và Viễn Thông tại các doanh nghiệp bán dẫn ở Việt Nam là bao nhiêu?,unanswerable,False,28,128,0,1
16546_1,16546,"Ai là người đại diện pháp lý cho Baekhyun, Xiumin và Chen trong vụ tranh chấp hợp đồng với SM Entertainment?",factoid,True,21,108,20,1
16546_2,16546,Vụ tranh chấp giữa ba thành viên EXO và SM Entertainment diễn ra như thế nào?,event_summary,True,16,77,68,1
16546_3,16546,"Điều gì khiến Baekhyun, Xiumin và Chen quyết định theo đuổi hành động pháp lý chống lại SM Entertainment?",cause_effect,True,19,105,57,1
16546_4,16546,SM Entertainment phản ứng thế nào trước hành động pháp lý của ba thành viên EXO?,entity_role,True,16,80,67,1
16546_5,16546,Đúng hay sai: 'SM Entertainment đã cung cấp đầy đủ tài liệu quyết toán thu nhập khi ba nghệ sĩ yêu cầu'?,claim_verification,True,22,104,53,1
78351_1,78351,Ai được chọn làm đại sứ cho Tuần lễ Văn hóa - Thể thao - Du lịch biển huyện Thạnh Phú lần đầu tiên được tổ chức tại Bến Tre?,factoid,True,30,124,11,1
78351_2,78351,Tuần lễ Văn hóa - Thể thao - Du lịch biển huyện Thạnh Phú bao gồm những hoạt động nổi bật nào?,event_summary,True,22,94,35,1
78351_3,78351,Hoa hậu Nguyễn Thanh Hà đã thực hiện những hoạt động gì với vai trò đại sứ tại lễ khai mạc tuần lễ du lịch biển Thạnh Phú?,entity_role,True,28,122,30,1
78351_4,78351,Việc UBND huyện Thạnh Phú phối hợp với Sở VH-TT-DL Bến Tre tổ chức tuần lễ du lịch biển này nhằm mục đích gì?,cause_effect,True,24,109,28,1
78351_5,78351,Hoa hậu Nguyễn Thanh Hà có tiếp tục được mời làm đại sứ cho các kỳ tuần lễ du lịch biển Thạnh Phú tiếp theo hay không?,unanswerable,False,27,118,0,1
cross_0_1,150854; 150858; 150614,"Theo các bài báo về phong thủy xây nhà năm Quý Mão 2023, nếu một gia chủ có tuổi đẹp để xây nhà (không phạm Kim lâu, Hoang ốc, Tam tai) và chọn được ngày lành tháng tốt để động thổ, nhưng lại xây nhà ở nông thôn theo kiểu 'đầu nặng chân nhẹ' hoặc cao hơn hẳn xung quanh, thì những hệ quả phong thủy tiêu cực cụ thể nào có thể xảy ra theo từng yếu tố vi phạm?",multi_doc_comparison,True,81,358,125,3
cross_0_2,150854; 150858; 150614,"So sánh quan điểm của ba bài báo về các yếu tố phong thủy quan trọng nhất khi xây nhà: bài về tuổi gia chủ, bài về ngày giờ động thổ, và bài về kiêng kỵ thiết kế nhà ở nông thôn. Trong ba yếu tố (tuổi, ngày giờ, thiết kế/vị trí), yếu tố nào được các bài báo cho là gây hậu quả nghiêm trọng nhất nếu vi phạm?",multi_doc_comparison,False,70,307,0,3
cross_1_1,152478; 152549; 153051,So sánh các dấu hiệu phục hồi của thị trường bất động sản nói chung (nhà ở thương mại) và phân khúc condotel (bất động sản nghỉ dưỡng) từ quý IV/2023 đến đầu năm 2024: phân khúc nào có mức tăng trưởng nguồn cung và giao dịch mạnh mẽ hơn?,multi_doc_comparison,True,50,237,124,3
cross_1_2,152478; 152549; 153051,"Dựa trên thông tin về tình trạng thiếu hụt nguồn cung nhà ở đô thị (khoảng 300.000 đơn vị/năm) và nhu cầu dồn nén của người Việt, liệu phân khúc condotel có thể hưởng lợi từ lực cầu dồn nén này không, hay lực cầu đó chủ yếu chỉ hướng vào bất động sản nhà ở?",multi_doc_comparison,False,56,257,0,3
cross_2_1,79595; 75539; 78693,Chợ nổi ở miền Tây Việt Nam được đề cập trong các bài báo với những vai trò khác nhau như thế nào? So sánh cách các bài báo giới thiệu chợ nổi trong bối cảnh du lịch và ẩm thực.,multi_doc_comparison,True,41,177,133,3
cross_2_2,79595; 75539; 78693,"Dựa trên thông tin từ cả ba bài báo, trong bảng xếp hạng ẩm thực thế giới của Condé Nast Traveller, các quốc gia Đông Nam Á khác ngoài Việt Nam và Thái Lan (như Malaysia, Indonesia, Campuchia) được xếp ở vị trí nào?",multi_doc_comparison,False,44,215,0,3
cross_3_1,79333; 79060; 78375,"So sánh chính sách thị thực của Trung Quốc đối với khách du lịch nước ngoài (như miễn thị thực cho ASEAN, các nước châu Âu) với tác động ngược lại đến sức mạnh hộ chiếu Mỹ. Việc Trung Quốc miễn thị thực cho nhiều quốc gia nhưng không bao gồm Mỹ đã ảnh hưởng như thế nào đến thứ hạng hộ chiếu Mỹ và đến vị thế du lịch của Việt Nam trong khu vực?",multi_doc_comparison,True,76,344,135,3
cross_3_2,79333; 79060; 78375,"Dựa trên thông tin từ các bài báo, liệu chính sách miễn thị thực đơn phương mà Trung Quốc áp dụng cho khách ASEAN tại Tây Song Bản Nạp có trực tiếp làm tăng lượng khách Việt Nam đến Trung Quốc nhiều hơn lượng khách Trung Quốc đến Việt Nam hay không? Tỷ lệ trao đổi du khách hai chiều Việt-Trung cụ thể là bao nhiêu?",multi_doc_comparison,False,66,315,0,3
cross_4_1,178976; 178937; 177700,So sánh thời gian đăng ký xét tuyển trên Cổng thông tin tuyển sinh của Bộ GD-ĐT giữa Trường ĐH Công nghệ Giao thông vận tải năm 2024 và Trường ĐH Ngoại thương năm 2025. Có sự khác biệt nào về thời hạn đăng ký?,multi_doc_comparison,True,45,209,86,3
cross_4_2,178976; 178937; 177700,"Giữa ĐH Quốc gia Hà Nội (năm 2024), Trường ĐH Công nghệ Giao thông vận tải (năm 2024) và Trường ĐH Ngoại thương (năm 2025), trường nào có điểm sàn xét tuyển bằng điểm thi tốt nghiệp THPT cao nhất và mức điểm cụ thể là bao nhiêu?",multi_doc_comparison,False,48,228,0,3
cross_5_1,102777; 178328; 4420,"So sánh sự đổi mới trong đề thi môn Ngữ văn ở kỳ thi tuyển sinh lớp 10 (năm 2025) và kỳ thi tốt nghiệp THPT (năm 2025): điểm chung và khác biệt về cấu trúc đề thi, hình thức thi và cách sử dụng ngữ liệu là gì?",multi_doc_comparison,True,49,209,139,3
cross_5_2,102777; 178328; 4420,"Từ năm 2023 đến 2025, kỳ thi tuyển sinh lớp 10 tại TP.HCM đã có những thay đổi gì đáng chú ý về đề thi các môn (bao gồm cả ngoại ngữ và ngữ văn)? Những thay đổi này phản ánh xu hướng cải cách giáo dục nào?",timeline,False,48,205,0,3
cross_6_1,90555; 164317; 91968,So sánh tình trạng sức khỏe và khả năng tiếp tục hoạt động nghệ thuật của NSƯT Bảo Quốc và nghệ sĩ Uyên Trinh. Ai vẫn còn tái xuất sân khấu và ai đã phải từ bỏ nghề?,multi_doc_comparison,True,38,165,111,3
cross_6_2,90555; 164317; 91968,"Trong các vở diễn cải lương mà Gia Bảo tổ chức (Dạ cổ hoài lang và Hoa Mộc Lan tùng chinh), NSƯT Bảo Quốc đã tham gia bao nhiêu vở và vai diễn nào ông từ chối hoặc không thể tham gia? Lý do cụ thể trong từng trường hợp là gì?",multi_doc_comparison,True,52,225,90,3
cross_7_1,15768; 15473; 168961,"So sánh vai trò của các nhà thiết kế Việt Nam trong việc tạo trang phục cho các cuộc thi sắc đẹp quốc tế được đề cập trong các bài báo: Lê Thanh Hòa thiết kế cho Miss World và Nguyễn Minh Tuấn thiết kế cho Miss Grand International có những điểm chung và khác biệt gì về quy mô, số lượng thiết kế và đối tượng phục vụ?",multi_doc_comparison,True,69,317,157,3
cross_7_2,15768; 15473; 168961,"Trong số các hoa hậu và thí sinh được nhắc đến ở cả ba bài báo – Krystyna Pyszková (Miss World 2024), Quế Anh (Miss Grand International 2024), Lê Hoàng Phương và Đan Phượng (Miss World Vietnam) – ai đã từng đạt thành tích cao nhất tại các cuộc thi quốc tế và thành tích cụ thể của họ là gì?",multi_doc_comparison,False,61,290,0,3
cross_8_1,54620; 187611; 54066,So sánh định hướng thiết kế chất liệu thân máy của Apple qua các thế hệ iPhone 17 Pro và iPhone 19 Pro. Apple có nhất quán trong việc sử dụng vật liệu hay có sự thay đổi chiến lược giữa hai thế hệ này?,multi_doc_comparison,True,45,201,95,3
cross_8_2,54620; 187611; 54066,"Xét theo dòng thời gian từ iPhone 17 Pro (2025) đến iPhone 19 Pro (2027), những thay đổi về camera và thiết kế tổng thể của Apple có cho thấy iPhone 17 Pro Max sẽ là bước đệm chuyển tiếp để Apple chuẩn bị cho cuộc cách mạng thiết kế ở iPhone 19 Pro không? Liệu tính năng sạc ngược không dây trên iPhone 17 Pro Max có được giữ lại trên iPhone 19 Pro?",timeline,False,75,349,0,3
cross_9_1,183632; 184630; 183453,"So sánh cách tiếp cận chuyển đổi số của ba tỉnh Thái Nguyên, Bình Phước và Quảng Ngãi: tỉnh nào tập trung chủ yếu vào tuyên truyền nâng cao nhận thức, tỉnh nào chú trọng triển khai giải pháp công nghệ từ doanh nghiệp, và tỉnh nào xác định rõ các lĩnh vực ưu tiên cụ thể để chuyển đổi số?",multi_doc_comparison,True,61,287,141,3
cross_9_2,183632; 184630; 183453,"Trong ba tỉnh Thái Nguyên, Bình Phước và Quảng Ngãi, tỉnh nào có thứ hạng chuyển đổi số cao nhất trên bảng xếp hạng quốc gia tính đến năm 2023, và khoảng cách xếp hạng giữa ba tỉnh này cụ thể là bao nhiêu bậc?",multi_doc_comparison,False,45,209,0,3
cross_10_1,111170; 111966; 111997,"So sánh mức chênh lệch giữa giá vàng miếng SJC và vàng nhẫn 4 số 9 cùng thương hiệu SJC tại ba thời điểm tháng 6/2023, tháng 10/2023 và tháng 7/2024. Xu hướng chênh lệch này thay đổi như thế nào?",multi_doc_comparison,True,41,195,74,3
cross_10_2,111170; 111966; 111997,"Qua ba bài báo từ tháng 6/2023, tháng 10/2023 và tháng 7/2024, quan điểm của Chủ tịch Fed Jerome Powell về chính sách lãi suất đã thay đổi cụ thể như thế nào, từ tăng lãi suất sang chuẩn bị cắt giảm?",timeline,False,42,199,0,3
cross_11_1,109851; 113767; 111756,"So sánh diễn biến giá USD tại Vietcombank (cả mua vào và bán ra) qua ba thời điểm tháng 7/2023, tháng 8/2024 và tháng 10/2024. Xu hướng tăng hay giảm và mức chênh lệch cụ thể là bao nhiêu?",multi_doc_comparison,True,39,188,58,3
cross_11_2,109851; 113767; 111756,"Xét qua ba thời điểm tháng 7/2023 (USD-Index 99,97 điểm), tháng 8/2024 (USD-Index 102,3 điểm) và tháng 10/2024 (USD-Index 104,1 điểm), chính sách lãi suất của Fed đã thay đổi như thế nào từ kỳ vọng tăng lãi suất sang kỳ vọng giảm lãi suất, và điều này đã tác động cụ thể ra sao đến chỉ số USD-Index?",timeline,False,59,299,0,3
cross_12_1,26619; 26887; 204720,Giấy tờ chứng minh sức khỏe để đăng ký kết hôn đối với thường trú nhân Canada và người nước ngoài nói chung có những điểm khác biệt gì về yêu cầu chuyên khoa và thủ tục hợp pháp hóa lãnh sự?,multi_doc_comparison,True,42,190,71,3
cross_12_2,26619; 26887; 204720,"Trình tự thời gian từ lúc nộp hồ sơ đến khi hoàn tất thủ tục đăng ký kết hôn với thường trú nhân Canada diễn ra trong bao lâu, và so sánh với khoảng thời gian từ lúc bị cáo Phạm Ngọc Việt gây án đến khi bị TAND TP.HCM tuyên án tử hình?",timeline,False,54,235,0,3
cross_13_1,204015; 204035; 26707,"Nếu một người 15 tuổi được ông bà cho tiền và muốn mua một mảnh đất nhỏ diện tích 28m² tại Hà Nội để đứng tên trên sổ đỏ, thì theo pháp luật hiện hành, những điều kiện nào về độ tuổi người đứng tên và diện tích đất tối thiểu cần được đáp ứng?",multi_doc_comparison,True,55,242,137,3
cross_13_2,204015; 204035; 26707,"Trong trường hợp cha mẹ cho con 15 tuổi vay tiền với lãi suất để mua đất đứng tên con, mức lãi suất tối đa mà cha mẹ được phép áp dụng là bao nhiêu, và nếu con 15 tuổi tự ký hợp đồng vay cũng như hợp đồng mua bán đất thì các giao dịch này có hiệu lực pháp lý không?",multi_doc_comparison,False,63,265,0,3
cross_14_1,116986; 116279; 116533,"So sánh cách tiếp cận phục hồi da tổn thương của sản phẩm Rejuvaskin Recovery Skin Cream và Scar Esthetique: mỗi sản phẩm hướng đến loại tổn thương nào, thành phần hoạt chất chính khác nhau ra sao, và có thể kết hợp cả hai trong quy trình chăm sóc da sau điều trị mụn không?",multi_doc_comparison,False,56,274,0,3
cross_14_2,116986; 116279; 116533,"Dựa trên thông tin từ cả ba bài báo, một người có làn da mụn muốn thực hiện peel da hóa học cần lưu ý những gì về việc bảo vệ da trước (chống nắng) và phục hồi da sau khi peel, bao gồm cả ngăn ngừa sẹo thâm rỗ?",multi_doc_comparison,True,50,210,123,3
cross_15_1,208005; 205316; 31675,So sánh các bệnh nền (bệnh lý đi kèm) được ghi nhận ở những bệnh nhân nặng mắc cúm A và sốt xuất huyết đang điều trị tại Bệnh viện Bệnh nhiệt đới Trung ương trong các bài báo.,multi_doc_comparison,True,39,175,85,3
cross_15_2,208005; 205316; 31675,"Trình tự thời gian chi tiết theo ngày tháng cụ thể từ lúc khởi phát triệu chứng, tự điều trị, nhập viện cho đến khi được can thiệp chuyên sâu (đặt ECMO, phẫu thuật, truyền máu) của các bệnh nhân L.V.T, G.X.S và N.T.T.T. diễn ra như thế nào?",timeline,False,49,240,0,3
cross_16_1,122604; 120599; 121437,"So sánh quy mô và phương thức tấn công bằng tên lửa và UAV của Nga nhắm vào Ukraine qua ba thời điểm: ngày 549 của chiến sự (27.8), ngày 1.138 (6.4) và ngày 1.299 (14.9). Quy mô tấn công của Nga thay đổi như thế nào theo thời gian?",multi_doc_comparison,True,50,231,131,3
cross_16_2,122604; 120599; 121437,"Xét tổng thể ba bài báo ở các thời điểm khác nhau trong chiến sự, việc Ukraine tấn công ngược vào lãnh thổ Nga đã thay đổi như thế nào về hiệu quả chiến lược, đặc biệt là tác động đến nền kinh tế và năng lực sản xuất năng lượng của Nga?",timeline,False,53,236,0,3
