id,qa_type,question,question_words,question_chars,answer_words,num_source_articles,answerable,missing_source_id,keyword_who,keyword_when,keyword_where,keyword_how_many,keyword_why,keyword_what
50356_1,factoid,Mazda đã đăng ký bản quyền tên gọi Mazda 3e tại những thị trường nào?,15,69,19,1,True,False,False,False,False,False,False,False
50356_2,event_summary,Tình hình phát triển các dòng xe cỡ nhỏ của Mazda hiện nay diễn ra như thế nào?,18,79,69,1,True,False,False,False,False,False,False,False
50356_3,cause_effect,Điều gì khiến Mazda3 đứng trước nguy cơ bị khai tử hoặc phải thay đổi hoàn toàn?,17,80,58,1,True,False,False,False,False,False,False,True
50356_4,entity_role,Deepal và Changan đóng vai trò gì trong chiến lược xe điện của Mazda?,14,69,61,1,True,False,False,False,False,False,False,False
50356_5,unanswerable,Mazda 3e dự kiến sẽ được bán với mức giá bao nhiêu tại từng thị trường?,16,71,0,1,False,False,False,False,False,True,False,False
148770_1,factoid,Dự án Da Nang Downtown được xây dựng tại khu vực nào của Đà Nẵng?,15,65,29,1,True,False,False,False,False,False,False,False
148770_2,event_summary,Dự án Da Nang Downtown bao gồm những hạng mục chính nào và điểm nhấn kiến trúc của dự án là gì?,22,95,69,1,True,False,False,False,False,False,False,True
148770_3,cause_effect,Điều gì khiến Đà Nẵng trở thành thành phố trực thuộc Trung ương có diện tích lớn nhất cả nước?,20,94,27,1,True,False,False,False,False,False,False,True
148770_4,entity_role,Tòa tháp 69 tầng được kỳ vọng đóng vai trò gì đối với khu vực miền Trung?,17,73,44,1,True,False,False,False,False,False,False,False
148770_5,claim_verification,Đúng hay sai: Tòa tháp trong dự án Da Nang Downtown sẽ là công trình cao nhất Việt Nam khi hoàn thành?,22,102,23,1,True,False,False,False,False,False,False,False
95886_1,factoid,Dương Minh Hải là học sinh lớp 12 của trường THPT nào?,12,54,5,1,True,False,False,False,False,False,False,False
95886_2,event_summary,Chương trình tư vấn truyền hình trực tuyến của Báo Thanh Niên về chọn ngành đăng ký xét tuyển diễn ra với những nội dung chính nào?,27,131,72,1,True,False,False,False,False,False,False,False
95886_3,cause_effect,Vì sao ngành quản lý tài nguyên và môi trường dù không phải ngành 'hot' nhưng vẫn có cơ hội việc làm tốt sau khi tốt nghiệp?,27,124,54,1,True,False,False,False,False,False,True,False
95886_4,cause_effect,Thí sinh nên làm gì khi ngành yêu thích có điểm chuẩn quá cao so với khả năng của mình?,20,87,53,1,True,False,False,False,False,False,False,False
95886_5,claim_verification,"Đúng hay sai: Theo quy định hiện hành, thí sinh chỉ được đăng ký tối đa 5 nguyện vọng xét tuyển đại học?",23,104,37,1,True,False,False,False,False,False,False,False
106745_1,factoid,Hộ kinh doanh bán lẻ thủy sản tươi sống có doanh thu cao nhất thuộc địa bàn Chi cục Thuế khu vực nào?,23,101,16,1,True,False,False,False,False,False,False,False
106745_2,event_summary,Thực trạng nộp thuế của các hộ kinh doanh có doanh thu hàng trăm tỉ đồng tại Việt Nam hiện nay diễn ra như thế nào?,26,115,127,1,True,False,False,False,False,False,False,False
106745_3,cause_effect,Vì sao hộ kinh doanh bán lẻ thủy sản tươi sống doanh thu hàng trăm tỉ đồng lại thường không có hóa đơn?,23,103,26,1,True,False,False,False,False,False,True,False
106745_4,entity_role,Luật sư Trần Xoa đánh giá như thế nào về vai trò và ý nghĩa của việc chuyển đổi hộ kinh doanh lớn sang mô hình doanh nghiệp?,28,124,76,1,True,False,False,False,False,False,False,False
106745_5,unanswerable,Cơ quan thuế có biện pháp xử phạt cụ thể nào đối với các hộ kinh doanh đủ điều kiện kê khai nhưng vẫn nộp thuế khoán không?,28,123,0,1,False,False,False,False,False,False,False,False
90345_1,factoid,Show thời trang Tinh hoa cố đô diễn ra tại địa điểm nào?,13,56,8,1,True,False,False,False,False,False,False,False
90345_2,event_summary,Bộ sưu tập Nguyệt Hồi của nhà thiết kế Kiên Vũ được xây dựng dựa trên ý tưởng gì và bao gồm những dòng trang phục nào?,27,118,50,1,True,False,False,False,False,False,False,False
90345_3,cause_effect,Vì sao nhà thiết kế Kiên Vũ lại chọn H'Hen Niê và Thủy Tiên cho vị trí vedette và mở màn?,21,89,43,1,True,False,False,False,False,False,True,False
90345_4,entity_role,"Ngoài H'Hen Niê và Thủy Tiên, những ai khác góp mặt trong show diễn Tinh hoa cố đô?",18,83,34,1,True,False,True,False,False,False,False,False
90345_5,unanswerable,Hoa hậu H'Hen Niê cảm nhận như thế nào khi được mời làm vedette cho bộ sưu tập Nguyệt Hồi?,20,90,0,1,False,False,False,False,False,False,False,False
225322_1,factoid,Quang Hải đang thi đấu cho câu lạc bộ nào tại nước ngoài vào thời điểm đợt tập trung?,19,85,14,1,True,False,False,False,False,False,False,False
225322_2,event_summary,Đợt hội quân tháng 3 của tuyển Việt Nam dưới thời HLV Troussier được tổ chức ra sao?,18,84,53,1,True,False,False,False,False,False,False,False
225322_3,cause_effect,"Vì sao các câu lạc bộ nước ngoài không cho Quang Hải, Công Phượng và Văn Toàn về tập trung cùng tuyển Việt Nam?",24,111,36,1,True,False,False,False,False,False,True,False
225322_4,comparison,Tình hình thi đấu ở nước ngoài của Quang Hải và Công Phượng khác nhau như thế nào?,18,82,53,1,True,False,False,False,False,False,False,False
225322_5,unanswerable,HLV Troussier nhận xét cụ thể gì về phong độ hiện tại của Quang Hải tại Pau?,17,76,0,1,False,False,False,False,False,False,False,False
114604_1,factoid,Hệ thống nhà thuốc Long Châu và STADA Pymepharco đã triển khai những hoạt động kiểm tra sức khỏe cụ thể nào cho người dân trong sự kiện hợp tác?,30,144,27,1,True,False,False,False,False,False,False,False
114604_2,event_summary,Chương trình hợp tác giữa Long Châu và STADA Pymepharco tập trung giải quyết vấn đề sức khỏe nào và hướng đến thông điệp gì cho cộng đồng?,28,138,51,1,True,False,False,False,False,False,False,False
114604_3,cause_effect,"Tình trạng thừa cân, béo phì gây ra những hệ lụy gì cho sức khỏe cá nhân và xã hội theo cảnh báo của giới y khoa?",27,113,60,1,True,False,False,False,False,False,False,False
114604_4,entity_role,Hệ thống nhà thuốc Long Châu đóng vai trò gì trong việc đưa kiến thức y khoa về quản lý cân nặng đến với người dân?,26,115,65,1,True,False,False,False,False,False,False,False
114604_5,unanswerable,"Sau các chương trình truyền thông và đào tạo, doanh thu từ các sản phẩm hỗ trợ giảm cân tại hệ thống nhà thuốc Long Châu đã tăng trưởng như thế nào?",32,148,0,1,False,False,False,False,False,False,False,False
160104_1,factoid,Vai diễn nào khiến Kiều Anh cảm thấy tiếc nuối nhất trong sự nghiệp diễn xuất?,16,78,17,1,True,False,False,False,False,False,False,False
160104_2,event_summary,Kiều Anh đã trải qua hành trình chuyển từ sự nghiệp múa sang diễn xuất như thế nào?,18,83,72,1,True,False,False,False,False,False,False,False
160104_3,cause_effect,Vì sao Kiều Anh quyết định nhận vai Phương trong phim Gia đình mình vui bất thình lình dù nhân vật khá nhạt nhoà?,24,113,26,1,True,False,False,False,False,False,True,False
160104_4,comparison,Vai Phương của Kiều Anh và vai Hà của Lan Phương khác nhau thế nào trong cùng bộ phim?,19,86,45,1,True,False,False,False,False,False,False,False
160104_5,unanswerable,Mạnh Trường nhận xét gì về khả năng diễn xuất của Kiều Anh khi đóng cặp cùng nhau?,18,82,0,1,False,False,False,False,False,False,False,False
253647_1,factoid,Chiếc Mercedes-Benz C180 đang được rao bán với giá rẻ bất ngờ thuộc phiên bản nào và được sản xuất vào năm bao nhiêu?,24,117,11,1,True,False,False,False,False,True,False,False
253647_2,event_summary,Tình trạng thực tế về ngoại thất và nội thất của chiếc Mercedes-Benz C180 đã qua hơn hai thập kỷ sử dụng hiện nay ra sao?,26,121,42,1,True,False,False,False,False,False,False,False
253647_3,comparison,Mức giá hiện tại của chiếc Mercedes-Benz C180 cũ đang được so sánh ngang bằng với mẫu xe tay ga nào trên thị trường?,24,116,18,1,True,False,False,False,False,False,False,False
253647_4,cause_effect,Vì sao những người lần đầu mua ô tô hoặc có điều kiện kinh tế hạn hẹp được khuyên không nên chọn mua các mẫu xe sang Đức đã qua sử dụng quá lâu năm?,35,148,27,1,True,False,False,False,False,False,True,False
253647_5,unanswerable,Chủ nhân hiện tại của chiếc Mercedes-Benz C180 này là ai và lý do cá nhân nào khiến họ quyết định bán lại chiếc xe với mức giá rẻ bất ngờ như vậy?,33,146,0,1,False,False,True,False,False,False,False,False
64976_1,factoid,Những doanh nghiệp khởi nghiệp sáng tạo nào tại Khu Công nghệ cao đã phát triển vươn tầm thế giới?,20,98,24,1,True,False,False,False,False,False,False,False
64976_2,event_summary,Hội thảo về phát triển hệ sinh thái Drone/UAV thông minh đặt ra những mục tiêu chính nào?,18,89,51,1,True,False,False,False,False,False,False,False
64976_3,cause_effect,Điều gì thúc đẩy Việt Nam cần phát triển hệ sinh thái Drone/UAV trong giáo dục và công nghiệp?,19,94,78,1,True,False,False,False,False,False,False,True
64976_4,entity_role,Ban quản lý Khu Công nghệ cao đóng vai trò gì trong việc phát triển hệ sinh thái Drone/UAV?,19,91,68,1,True,False,False,False,False,False,False,False
64976_5,unanswerable,Có bao nhiêu đại biểu tham dự hội thảo về phát triển hệ sinh thái Drone/UAV?,16,76,0,1,False,False,False,False,False,True,False,False
44651_1,factoid,Fidel Castro đến thăm Khu chính phủ cách mạng lâm thời Cộng hòa miền Nam Việt Nam tại địa điểm nào?,21,99,5,1,True,False,False,False,False,False,False,False
44651_2,event_summary,Chuyến thăm vùng giải phóng Quảng Trị năm 1973 của Fidel Castro diễn ra trong hoàn cảnh như thế nào?,20,100,106,1,True,False,False,False,False,False,False,False
44651_3,cause_effect,"Điều gì đã thúc đẩy Cuba xây dựng bệnh viện Việt Nam - Cuba tại Đồng Hới, Quảng Bình?",19,85,58,1,True,False,False,False,False,False,False,True
44651_4,entity_role,Cuba đã hỗ trợ Việt Nam những công trình cụ thể nào sau chuyến thăm lịch sử của Fidel Castro?,20,93,67,1,True,False,False,False,False,False,False,False
44651_5,unanswerable,Cậu bé bị cụt hai tay mà Fidel Castro ôm tại Đông Hà sau này có cuộc sống ra sao?,20,81,0,1,False,False,False,False,False,False,False,False
246182_1,factoid,Ai có mặt tại hiện trường để chỉ đạo công tác tìm kiếm cứu hộ vụ lật tàu trên vịnh Hạ Long?,22,91,46,1,True,False,True,False,False,False,False,False
246182_2,event_summary,Quá trình cứu hộ và trục vớt tàu du lịch bị lật trên vịnh Hạ Long diễn ra như thế nào?,21,86,80,1,True,False,False,False,False,False,False,False
246182_3,entity_role,Phó Thủ tướng Trần Hồng Hà yêu cầu gì đối với lực lượng cứu hộ vụ lật tàu?,18,74,82,1,True,False,False,False,False,False,False,False
246182_4,cause_effect,Điều gì khiến công tác tìm kiếm nạn nhân vụ lật tàu trở nên khó khăn?,16,69,23,1,True,False,False,False,False,False,False,True
246182_5,unanswerable,Nguyên nhân chính xác khiến tàu du lịch bị lật trên vịnh Hạ Long là gì?,16,71,0,1,False,False,False,False,False,False,True,True
157600_1,factoid,Ai là đạo diễn của bộ phim truyền hình 'Đi về phía lửa'?,13,56,13,1,True,False,True,False,False,False,False,False
157600_2,event_summary,Bộ phim 'Đi về phía lửa' khai thác đề tài gì và quá trình sản xuất có điều gì đặc biệt?,21,87,56,1,True,False,False,False,False,False,False,True
157600_3,entity_role,Phòng cảnh sát PCCC và CNCH thành phố Đà Nẵng đóng vai trò gì trong quá trình sản xuất phim 'Đi về phía lửa'?,24,109,46,1,True,False,False,False,False,False,False,False
157600_4,cause_effect,Vì sao đạo diễn Trần Thanh Huy yêu cầu sử dụng lửa thật thay vì hiệu ứng kỹ xảo trong phim 'Đi về phía lửa'?,25,108,34,1,True,False,False,False,False,False,True,False
157600_5,unanswerable,Các diễn viên chính đóng vai lính cứu hỏa trong phim 'Đi về phía lửa' là những ai?,18,82,0,1,False,False,True,False,False,False,False,False
56336_1,factoid,Ai là người đứng đầu Alphabet đã đưa ra quyết định sa thải nhân viên?,15,69,24,1,True,False,True,False,False,False,False,False
56336_2,event_summary,Đợt sa thải lớn tại Alphabet diễn ra như thế nào và trong bối cảnh gì?,16,70,57,1,True,False,False,False,False,False,False,False
56336_3,cause_effect,Điều gì khiến Alphabet phải cắt giảm lực lượng lao động dù trước đó từng tuyển dụng rầm rộ?,19,91,35,1,True,False,False,False,False,False,False,True
56336_4,comparison,"So với các công ty Big Tech khác, quy mô sa thải của Alphabet ở mức nào?",17,72,35,1,True,False,False,False,False,False,False,False
56336_5,claim_verification,Đúng hay sai: Nhân viên bị sa thải tại Alphabet không nhận được bất kỳ quyền lợi nào sau khi nghỉ việc?,22,103,54,1,True,False,False,False,False,False,False,False
5446_1,factoid,Ông Nguyễn Trung Chính đã có cuộc gặp với lãnh đạo của tập đoàn nào để thảo luận về hợp tác chiến lược trong lĩnh vực AI và bán dẫn?,30,132,3,1,True,False,True,False,False,False,False,False
5446_2,event_summary,Khoa Vi Điện tử và Viễn Thông mới thành lập của Trường Đại học CMC tập trung vào những định hướng đào tạo nào?,24,110,44,1,True,False,False,False,False,False,False,False
5446_3,entity_role,Tập đoàn Synopsys đóng vai trò gì trong chương trình đào tạo của Trường Đại học CMC?,17,84,49,1,True,False,False,False,False,False,False,False
5446_4,cause_effect,Việc Trường Đại học CMC chọn thiết kế vi mạch làm định hướng đào tạo chính nhằm mục đích gì?,20,92,37,1,True,False,False,False,False,False,False,False
5446_5,unanswerable,Mức lương khởi điểm của sinh viên tốt nghiệp Khoa Vi Điện tử và Viễn Thông tại các doanh nghiệp bán dẫn ở Việt Nam là bao nhiêu?,28,128,0,1,False,False,False,False,False,True,False,False
16546_1,factoid,"Ai là người đại diện pháp lý cho Baekhyun, Xiumin và Chen trong vụ tranh chấp hợp đồng với SM Entertainment?",21,108,20,1,True,False,True,False,False,False,False,False
16546_2,event_summary,Vụ tranh chấp giữa ba thành viên EXO và SM Entertainment diễn ra như thế nào?,16,77,68,1,True,False,False,False,False,False,False,False
16546_3,cause_effect,"Điều gì khiến Baekhyun, Xiumin và Chen quyết định theo đuổi hành động pháp lý chống lại SM Entertainment?",19,105,57,1,True,False,False,False,False,False,False,True
16546_4,entity_role,SM Entertainment phản ứng thế nào trước hành động pháp lý của ba thành viên EXO?,16,80,67,1,True,False,False,False,False,False,False,False
16546_5,claim_verification,Đúng hay sai: 'SM Entertainment đã cung cấp đầy đủ tài liệu quyết toán thu nhập khi ba nghệ sĩ yêu cầu'?,22,104,53,1,True,False,False,False,False,False,False,False
78351_1,factoid,Ai được chọn làm đại sứ cho Tuần lễ Văn hóa - Thể thao - Du lịch biển huyện Thạnh Phú lần đầu tiên được tổ chức tại Bến Tre?,30,124,11,1,True,False,True,False,False,False,False,False
78351_2,event_summary,Tuần lễ Văn hóa - Thể thao - Du lịch biển huyện Thạnh Phú bao gồm những hoạt động nổi bật nào?,22,94,35,1,True,False,False,False,False,False,False,False
78351_3,entity_role,Hoa hậu Nguyễn Thanh Hà đã thực hiện những hoạt động gì với vai trò đại sứ tại lễ khai mạc tuần lễ du lịch biển Thạnh Phú?,28,122,30,1,True,False,False,False,False,False,False,False
78351_4,cause_effect,Việc UBND huyện Thạnh Phú phối hợp với Sở VH-TT-DL Bến Tre tổ chức tuần lễ du lịch biển này nhằm mục đích gì?,24,109,28,1,True,False,False,False,False,False,False,False
78351_5,unanswerable,Hoa hậu Nguyễn Thanh Hà có tiếp tục được mời làm đại sứ cho các kỳ tuần lễ du lịch biển Thạnh Phú tiếp theo hay không?,27,118,0,1,False,False,False,False,False,False,False,False
cross_0_1,multi_doc_comparison,"Theo các bài báo về phong thủy xây nhà năm Quý Mão 2023, nếu một gia chủ có tuổi đẹp để xây nhà (không phạm Kim lâu, Hoang ốc, Tam tai) và chọn được ngày lành tháng tốt để động thổ, nhưng lại xây nhà ở nông thôn theo kiểu 'đầu nặng chân nhẹ' hoặc cao hơn hẳn xung quanh, thì những hệ quả phong thủy tiêu cực cụ thể nào có thể xảy ra theo từng yếu tố vi phạm?",81,358,125,3,True,False,False,False,False,False,False,False
cross_0_2,multi_doc_comparison,"So sánh quan điểm của ba bài báo về các yếu tố phong thủy quan trọng nhất khi xây nhà: bài về tuổi gia chủ, bài về ngày giờ động thổ, và bài về kiêng kỵ thiết kế nhà ở nông thôn. Trong ba yếu tố (tuổi, ngày giờ, thiết kế/vị trí), yếu tố nào được các bài báo cho là gây hậu quả nghiêm trọng nhất nếu vi phạm?",70,307,0,3,False,False,False,False,False,False,False,False
cross_1_1,multi_doc_comparison,So sánh các dấu hiệu phục hồi của thị trường bất động sản nói chung (nhà ở thương mại) và phân khúc condotel (bất động sản nghỉ dưỡng) từ quý IV/2023 đến đầu năm 2024: phân khúc nào có mức tăng trưởng nguồn cung và giao dịch mạnh mẽ hơn?,50,237,124,3,True,False,False,False,False,False,False,False
cross_1_2,multi_doc_comparison,"Dựa trên thông tin về tình trạng thiếu hụt nguồn cung nhà ở đô thị (khoảng 300.000 đơn vị/năm) và nhu cầu dồn nén của người Việt, liệu phân khúc condotel có thể hưởng lợi từ lực cầu dồn nén này không, hay lực cầu đó chủ yếu chỉ hướng vào bất động sản nhà ở?",56,257,0,3,False,False,False,False,False,False,False,False
cross_2_1,multi_doc_comparison,Chợ nổi ở miền Tây Việt Nam được đề cập trong các bài báo với những vai trò khác nhau như thế nào? So sánh cách các bài báo giới thiệu chợ nổi trong bối cảnh du lịch và ẩm thực.,41,177,133,3,True,False,False,False,False,False,False,False
cross_2_2,multi_doc_comparison,"Dựa trên thông tin từ cả ba bài báo, trong bảng xếp hạng ẩm thực thế giới của Condé Nast Traveller, các quốc gia Đông Nam Á khác ngoài Việt Nam và Thái Lan (như Malaysia, Indonesia, Campuchia) được xếp ở vị trí nào?",44,215,0,3,False,False,False,False,False,False,False,False
cross_3_1,multi_doc_comparison,"So sánh chính sách thị thực của Trung Quốc đối với khách du lịch nước ngoài (như miễn thị thực cho ASEAN, các nước châu Âu) với tác động ngược lại đến sức mạnh hộ chiếu Mỹ. Việc Trung Quốc miễn thị thực cho nhiều quốc gia nhưng không bao gồm Mỹ đã ảnh hưởng như thế nào đến thứ hạng hộ chiếu Mỹ và đến vị thế du lịch của Việt Nam trong khu vực?",76,344,135,3,True,False,False,False,False,False,False,False
cross_3_2,multi_doc_comparison,"Dựa trên thông tin từ các bài báo, liệu chính sách miễn thị thực đơn phương mà Trung Quốc áp dụng cho khách ASEAN tại Tây Song Bản Nạp có trực tiếp làm tăng lượng khách Việt Nam đến Trung Quốc nhiều hơn lượng khách Trung Quốc đến Việt Nam hay không? Tỷ lệ trao đổi du khách hai chiều Việt-Trung cụ thể là bao nhiêu?",66,315,0,3,False,False,False,False,False,True,False,False
cross_4_1,multi_doc_comparison,So sánh thời gian đăng ký xét tuyển trên Cổng thông tin tuyển sinh của Bộ GD-ĐT giữa Trường ĐH Công nghệ Giao thông vận tải năm 2024 và Trường ĐH Ngoại thương năm 2025. Có sự khác biệt nào về thời hạn đăng ký?,45,209,86,3,True,False,False,False,False,False,False,False
cross_4_2,multi_doc_comparison,"Giữa ĐH Quốc gia Hà Nội (năm 2024), Trường ĐH Công nghệ Giao thông vận tải (năm 2024) và Trường ĐH Ngoại thương (năm 2025), trường nào có điểm sàn xét tuyển bằng điểm thi tốt nghiệp THPT cao nhất và mức điểm cụ thể là bao nhiêu?",48,228,0,3,False,False,False,False,False,True,False,False
cross_5_1,multi_doc_comparison,"So sánh sự đổi mới trong đề thi môn Ngữ văn ở kỳ thi tuyển sinh lớp 10 (năm 2025) và kỳ thi tốt nghiệp THPT (năm 2025): điểm chung và khác biệt về cấu trúc đề thi, hình thức thi và cách sử dụng ngữ liệu là gì?",49,209,139,3,True,False,False,False,False,False,False,True
cross_5_2,timeline,"Từ năm 2023 đến 2025, kỳ thi tuyển sinh lớp 10 tại TP.HCM đã có những thay đổi gì đáng chú ý về đề thi các môn (bao gồm cả ngoại ngữ và ngữ văn)? Những thay đổi này phản ánh xu hướng cải cách giáo dục nào?",48,205,0,3,False,False,False,False,False,False,False,False
cross_6_1,multi_doc_comparison,So sánh tình trạng sức khỏe và khả năng tiếp tục hoạt động nghệ thuật của NSƯT Bảo Quốc và nghệ sĩ Uyên Trinh. Ai vẫn còn tái xuất sân khấu và ai đã phải từ bỏ nghề?,38,165,111,3,True,False,True,False,False,False,False,False
cross_6_2,multi_doc_comparison,"Trong các vở diễn cải lương mà Gia Bảo tổ chức (Dạ cổ hoài lang và Hoa Mộc Lan tùng chinh), NSƯT Bảo Quốc đã tham gia bao nhiêu vở và vai diễn nào ông từ chối hoặc không thể tham gia? Lý do cụ thể trong từng trường hợp là gì?",52,225,90,3,True,False,False,False,False,True,False,True
cross_7_1,multi_doc_comparison,"So sánh vai trò của các nhà thiết kế Việt Nam trong việc tạo trang phục cho các cuộc thi sắc đẹp quốc tế được đề cập trong các bài báo: Lê Thanh Hòa thiết kế cho Miss World và Nguyễn Minh Tuấn thiết kế cho Miss Grand International có những điểm chung và khác biệt gì về quy mô, số lượng thiết kế và đối tượng phục vụ?",69,317,157,3,True,False,False,False,False,True,False,False
cross_7_2,multi_doc_comparison,"Trong số các hoa hậu và thí sinh được nhắc đến ở cả ba bài báo – Krystyna Pyszková (Miss World 2024), Quế Anh (Miss Grand International 2024), Lê Hoàng Phương và Đan Phượng (Miss World Vietnam) – ai đã từng đạt thành tích cao nhất tại các cuộc thi quốc tế và thành tích cụ thể của họ là gì?",61,290,0,3,False,False,True,False,False,False,False,True
cross_8_1,multi_doc_comparison,So sánh định hướng thiết kế chất liệu thân máy của Apple qua các thế hệ iPhone 17 Pro và iPhone 19 Pro. Apple có nhất quán trong việc sử dụng vật liệu hay có sự thay đổi chiến lược giữa hai thế hệ này?,45,201,95,3,True,False,False,False,False,False,False,False
cross_8_2,timeline,"Xét theo dòng thời gian từ iPhone 17 Pro (2025) đến iPhone 19 Pro (2027), những thay đổi về camera và thiết kế tổng thể của Apple có cho thấy iPhone 17 Pro Max sẽ là bước đệm chuyển tiếp để Apple chuẩn bị cho cuộc cách mạng thiết kế ở iPhone 19 Pro không? Liệu tính năng sạc ngược không dây trên iPhone 17 Pro Max có được giữ lại trên iPhone 19 Pro?",75,349,0,3,False,False,False,False,False,False,False,False
cross_9_1,multi_doc_comparison,"So sánh cách tiếp cận chuyển đổi số của ba tỉnh Thái Nguyên, Bình Phước và Quảng Ngãi: tỉnh nào tập trung chủ yếu vào tuyên truyền nâng cao nhận thức, tỉnh nào chú trọng triển khai giải pháp công nghệ từ doanh nghiệp, và tỉnh nào xác định rõ các lĩnh vực ưu tiên cụ thể để chuyển đổi số?",61,287,141,3,True,False,False,False,False,False,False,False
cross_9_2,multi_doc_comparison,"Trong ba tỉnh Thái Nguyên, Bình Phước và Quảng Ngãi, tỉnh nào có thứ hạng chuyển đổi số cao nhất trên bảng xếp hạng quốc gia tính đến năm 2023, và khoảng cách xếp hạng giữa ba tỉnh này cụ thể là bao nhiêu bậc?",45,209,0,3,False,False,False,False,False,True,False,False
cross_10_1,multi_doc_comparison,"So sánh mức chênh lệch giữa giá vàng miếng SJC và vàng nhẫn 4 số 9 cùng thương hiệu SJC tại ba thời điểm tháng 6/2023, tháng 10/2023 và tháng 7/2024. Xu hướng chênh lệch này thay đổi như thế nào?",41,195,74,3,True,False,False,False,False,False,False,False
cross_10_2,timeline,"Qua ba bài báo từ tháng 6/2023, tháng 10/2023 và tháng 7/2024, quan điểm của Chủ tịch Fed Jerome Powell về chính sách lãi suất đã thay đổi cụ thể như thế nào, từ tăng lãi suất sang chuẩn bị cắt giảm?",42,199,0,3,False,False,False,False,False,False,False,False
cross_11_1,multi_doc_comparison,"So sánh diễn biến giá USD tại Vietcombank (cả mua vào và bán ra) qua ba thời điểm tháng 7/2023, tháng 8/2024 và tháng 10/2024. Xu hướng tăng hay giảm và mức chênh lệch cụ thể là bao nhiêu?",39,188,58,3,True,False,False,False,False,True,False,False
cross_11_2,timeline,"Xét qua ba thời điểm tháng 7/2023 (USD-Index 99,97 điểm), tháng 8/2024 (USD-Index 102,3 điểm) và tháng 10/2024 (USD-Index 104,1 điểm), chính sách lãi suất của Fed đã thay đổi như thế nào từ kỳ vọng tăng lãi suất sang kỳ vọng giảm lãi suất, và điều này đã tác động cụ thể ra sao đến chỉ số USD-Index?",59,299,0,3,False,False,False,False,False,False,False,False
cross_12_1,multi_doc_comparison,Giấy tờ chứng minh sức khỏe để đăng ký kết hôn đối với thường trú nhân Canada và người nước ngoài nói chung có những điểm khác biệt gì về yêu cầu chuyên khoa và thủ tục hợp pháp hóa lãnh sự?,42,190,71,3,True,False,False,False,False,False,False,False
cross_12_2,timeline,"Trình tự thời gian từ lúc nộp hồ sơ đến khi hoàn tất thủ tục đăng ký kết hôn với thường trú nhân Canada diễn ra trong bao lâu, và so sánh với khoảng thời gian từ lúc bị cáo Phạm Ngọc Việt gây án đến khi bị TAND TP.HCM tuyên án tử hình?",54,235,0,3,False,False,False,False,False,False,False,False
