id,article_ids,qa_type,is_possible,num_answers,num_plausible_answers,question_chars,answer_chars,question_tokens,answer_tokens,has_question,has_answer,has_mojibake
131800_5,131800,unanswerable,False,0,2,117,0,26,0,True,False,False
62373_1,62373,factoid,True,1,2,105,20,23,6,True,True,False
62373_2,62373,event_summary,True,1,2,115,154,24,36,True,True,False
62373_3,62373,cause_effect,True,1,2,120,66,28,16,True,True,False
62373_4,62373,comparison,True,1,2,97,117,21,25,True,True,False
62373_5,62373,unanswerable,False,0,2,106,0,23,0,True,False,False
74345_1,74345,factoid,True,1,2,97,17,22,4,True,True,False
74345_2,74345,event_summary,True,1,2,115,184,26,42,True,True,False
74345_3,74345,cause_effect,True,1,2,131,158,30,35,True,True,False
74345_4,74345,comparison,True,1,2,124,160,28,36,True,True,False
74345_5,74345,unanswerable,False,0,2,99,0,23,0,True,False,False
248068_1,248068,factoid,True,1,2,112,12,26,2,True,True,False
248068_2,248068,event_summary,True,1,1,79,214,18,49,True,True,False
248068_3,248068,cause_effect,True,1,2,114,33,24,7,True,True,False
248068_4,248068,comparison,True,1,1,104,126,23,31,True,True,False
248068_5,248068,unanswerable,False,0,2,126,0,29,0,True,False,False
247296_1,247296,factoid,True,1,1,137,21,32,5,True,True,False
247296_2,247296,event_summary,True,1,1,118,204,26,48,True,True,False
247296_3,247296,entity_role,True,1,1,97,123,24,31,True,True,False
247296_4,247296,cause_effect,True,1,1,142,177,33,39,True,True,False
247296_5,247296,claim_verification,True,1,2,181,199,42,44,True,True,False
146679_1,146679,factoid,True,1,2,84,12,21,3,True,True,False
146679_2,146679,event_summary,True,1,2,132,146,31,35,True,True,False
146679_3,146679,cause_effect,True,1,2,113,136,29,30,True,True,False
146679_4,146679,entity_role,True,1,2,85,156,20,37,True,True,False
146679_5,146679,claim_verification,True,1,2,153,164,35,40,True,True,False
215554_1,215554,factoid,True,1,2,100,3,23,1,True,True,False
215554_2,215554,event_summary,True,1,2,46,171,11,41,True,True,False
215554_3,215554,cause_effect,True,1,2,91,69,21,15,True,True,False
215554_4,215554,entity_role,True,1,2,107,203,24,47,True,True,False
215554_5,215554,unanswerable,False,0,2,79,0,18,0,True,False,False
117335_1,117335,factoid,True,1,1,101,25,26,5,True,True,False
117335_2,117335,event_summary,True,1,1,82,180,23,46,True,True,False
117335_3,117335,cause_effect,True,1,1,74,143,18,34,True,True,False
117335_4,117335,comparison,True,1,1,95,149,22,33,True,True,False
117335_5,117335,unanswerable,False,0,2,94,0,23,0,True,False,False
126018_1,126018,factoid,True,1,2,85,113,18,25,True,True,False
126018_2,126018,event_summary,True,1,2,91,248,20,57,True,True,False
126018_3,126018,cause_effect,True,1,2,119,201,26,46,True,True,False
126018_4,126018,entity_role,True,1,2,121,225,27,46,True,True,False
126018_5,126018,unanswerable,False,0,2,100,0,23,0,True,False,False
34123_1,34123,factoid,True,1,2,73,22,18,6,True,True,False
34123_2,34123,event_summary,True,2,2,101,216,25,53,True,True,False
34123_3,34123,cause_effect,True,2,2,102,168,24,41,True,True,False
34123_4,34123,comparison,True,2,2,110,229,23,55,True,True,False
34123_5,34123,unanswerable,False,0,2,116,0,29,0,True,False,False
14857_1,14857,factoid,True,1,2,97,85,21,19,True,True,False
14857_2,14857,event_summary,True,1,2,112,206,22,47,True,True,False
14857_3,14857,entity_role,True,2,2,125,171,28,38,True,True,False
14857_4,14857,comparison,True,1,2,125,135,29,30,True,True,False
14857_5,14857,unanswerable,False,0,2,87,0,20,0,True,False,False
192647_1,192647,factoid,True,1,0,103,22,23,3,True,True,False
192647_2,192647,event_summary,True,1,0,138,230,29,50,True,True,False
192647_3,192647,cause_effect,True,1,0,86,146,17,34,True,True,False
192647_4,192647,entity_role,True,1,0,139,164,31,35,True,True,False
192647_5,192647,unanswerable,False,0,2,172,0,36,0,True,False,False
200506_1,200506,factoid,True,1,2,107,66,23,13,True,True,False
200506_2,200506,event_summary,True,1,2,124,214,28,46,True,True,False
200506_3,200506,comparison,True,1,2,98,156,24,39,True,True,False
200506_4,200506,cause_effect,True,1,2,113,47,25,12,True,True,False
200506_5,200506,unanswerable,False,0,2,117,0,26,0,True,False,False
43996_1,43996,factoid,True,1,2,115,22,25,6,True,True,False
43996_2,43996,event_summary,True,1,2,107,175,24,37,True,True,False
43996_3,43996,comparison,True,1,2,128,36,29,8,True,True,False
43996_4,43996,cause_effect,True,1,2,114,183,25,39,True,True,False
43996_5,43996,unanswerable,False,0,2,141,0,33,0,True,False,False
47286_1,47286,factoid,True,1,2,156,31,35,7,True,True,False
47286_2,47286,event_summary,True,1,2,101,202,23,43,True,True,False
47286_3,47286,entity_role,True,1,2,126,156,26,33,True,True,False
47286_4,47286,cause_effect,True,1,2,128,136,29,29,True,True,False
47286_5,47286,unanswerable,False,0,2,98,0,23,0,True,False,False
236590_1,236590,factoid,True,1,2,101,32,23,6,True,True,False
236590_2,236590,event_summary,True,1,2,101,175,23,38,True,True,False
236590_3,236590,cause_effect,True,1,2,96,137,22,30,True,True,False
236590_4,236590,entity_role,True,1,2,115,108,25,24,True,True,False
236590_5,236590,unanswerable,False,0,2,85,0,21,0,True,False,False
82238_1,82238,factoid,True,1,1,87,56,20,13,True,True,False
82238_2,82238,event_summary,True,1,1,111,171,25,38,True,True,False
82238_3,82238,cause_effect,True,1,1,105,135,25,32,True,True,False
82238_4,82238,entity_role,True,1,1,118,129,27,28,True,True,False
82238_5,82238,unanswerable,False,0,2,96,0,22,0,True,False,False
27668_1,27668,factoid,True,1,2,90,12,20,2,True,True,False
27668_2,27668,event_summary,True,2,2,137,294,28,66,True,True,False
27668_3,27668,cause_effect,True,1,2,129,179,29,39,True,True,False
27668_4,27668,entity_role,True,1,2,129,210,26,44,True,True,False
27668_5,27668,claim_verification,True,1,2,194,197,44,44,True,True,False
121117_1,121117,factoid,True,1,0,111,79,25,15,True,True,False
121117_2,121117,event_summary,True,1,0,112,264,25,52,True,True,False
121117_3,121117,cause_effect,True,1,0,120,88,24,19,True,True,False
121117_4,121117,entity_role,True,1,0,124,139,27,30,True,True,False
121117_5,121117,unanswerable,False,0,2,102,0,22,0,True,False,False
164034_1,164034,factoid,True,1,0,95,26,21,6,True,True,False
164034_2,164034,event_summary,True,1,0,134,179,29,40,True,True,False
164034_3,164034,entity_role,True,1,0,146,201,34,45,True,True,False
164034_4,164034,comparison,True,1,0,111,227,28,53,True,True,False
164034_5,164034,unanswerable,False,0,2,145,0,31,0,True,False,False
223075_1,223075,factoid,True,1,2,107,75,22,11,True,True,False
223075_2,223075,event_summary,True,1,2,134,208,30,45,True,True,False
223075_3,223075,comparison,True,1,2,146,157,32,36,True,True,False
223075_4,223075,cause_effect,True,1,2,129,100,28,22,True,True,False
223075_5,223075,unanswerable,False,0,2,118,0,25,0,True,False,False
98783_1,98783,factoid,True,1,2,93,13,19,3,True,True,False
98783_2,98783,event_summary,True,1,2,87,117,18,26,True,True,False
98783_3,98783,entity_role,True,1,2,98,176,23,39,True,True,False
98783_4,98783,cause_effect,True,1,2,114,54,24,12,True,True,False
98783_5,98783,unanswerable,False,0,2,148,0,31,0,True,False,False
100777_1,100777,factoid,True,1,1,86,95,20,19,True,True,False
100777_2,100777,event_summary,True,1,1,66,288,15,60,True,True,False
100777_3,100777,comparison,True,1,1,136,342,28,74,True,True,False
100777_4,100777,entity_role,True,1,1,90,170,20,36,True,True,False
100777_5,100777,unanswerable,False,0,2,70,0,15,0,True,False,False
261200_1,261200,factoid,True,1,1,58,43,13,10,True,True,False
261200_2,261200,event_summary,True,1,1,56,251,13,55,True,True,False
261200_3,261200,cause_effect,True,1,1,71,199,16,45,True,True,False
261200_4,261200,entity_role,True,1,1,93,99,22,22,True,True,False
261200_5,261200,unanswerable,False,0,2,96,0,22,0,True,False,False
189300_1,189300,factoid,True,1,1,150,16,33,3,True,True,False
189300_2,189300,event_summary,True,1,1,80,367,17,73,True,True,False
189300_3,189300,cause_effect,True,1,1,127,132,28,29,True,True,False
189300_4,189300,entity_role,True,1,1,78,326,17,70,True,True,False
189300_5,189300,claim_verification,True,1,1,166,184,33,41,True,True,False
173365_1,173365,factoid,True,1,2,84,21,19,4,True,True,False
173365_2,173365,event_summary,True,1,2,94,222,20,49,True,True,False
173365_3,173365,cause_effect,True,1,2,101,135,22,31,True,True,False
173365_4,173365,entity_role,True,1,2,95,160,20,35,True,True,False
173365_5,173365,unanswerable,False,0,2,89,0,19,0,True,False,False
248463_1,248463,factoid,True,1,2,110,20,23,4,True,True,False
248463_2,248463,event_summary,True,1,2,86,190,20,43,True,True,False
248463_3,248463,cause_effect,True,1,2,120,78,28,18,True,True,False
248463_4,248463,comparison,True,1,2,144,151,26,31,True,True,False
248463_5,248463,unanswerable,False,0,2,126,0,28,0,True,False,False
165582_1,165582,factoid,True,1,2,105,11,21,3,True,True,False
165582_2,165582,event_summary,True,2,1,122,182,29,42,True,True,False
165582_3,165582,entity_role,True,1,1,94,132,21,30,True,True,False
165582_4,165582,cause_effect,True,1,1,116,149,28,33,True,True,False
165582_5,165582,unanswerable,False,0,2,98,0,22,0,True,False,False
143907_1,143907,factoid,True,1,2,76,83,17,18,True,True,False
143907_2,143907,event_summary,True,2,2,87,285,20,62,True,True,False
143907_3,143907,comparison,True,1,2,75,110,16,24,True,True,False
143907_4,143907,cause_effect,True,1,2,104,121,22,28,True,True,False
143907_5,143907,unanswerable,False,0,2,142,0,31,0,True,False,False
192779_1,192779,factoid,True,1,2,93,67,22,22,True,True,False
192779_2,192779,event_summary,True,1,2,127,216,28,47,True,True,False
192779_3,192779,comparison,True,1,2,94,168,21,38,True,True,False
192779_4,192779,cause_effect,True,1,2,94,121,19,27,True,True,False
192779_5,192779,unanswerable,False,0,2,130,0,30,0,True,False,False
143143_1,143143,factoid,True,1,2,91,6,21,2,True,True,False
143143_2,143143,event_summary,True,1,1,113,186,26,42,True,True,False
143143_3,143143,cause_effect,True,2,2,123,134,24,31,True,True,False
143143_4,143143,comparison,True,1,2,99,129,20,25,True,True,False
143143_5,143143,unanswerable,False,0,2,136,0,29,0,True,False,False
41977_1,41977,factoid,True,1,2,95,38,20,8,True,True,False
41977_2,41977,event_summary,True,1,2,116,228,24,50,True,True,False
41977_3,41977,entity_role,True,1,2,84,136,19,27,True,True,False
41977_4,41977,comparison,True,1,2,110,110,25,26,True,True,False
41977_5,41977,claim_verification,True,1,2,112,128,23,26,True,True,False
132947_1,132947,factoid,True,1,1,101,40,23,9,True,True,False
132947_2,132947,event_summary,True,1,1,127,277,29,59,True,True,False
132947_3,132947,cause_effect,True,1,1,135,79,31,18,True,True,False
132947_4,132947,entity_role,True,1,1,140,207,33,43,True,True,False
132947_5,132947,unanswerable,False,0,2,122,0,25,0,True,False,False
9567_1,9567,factoid,True,1,2,108,50,25,12,True,True,False
9567_2,9567,event_summary,True,1,2,97,205,20,49,True,True,False
9567_3,9567,entity_role,True,2,2,133,170,30,38,True,True,False
9567_4,9567,comparison,True,1,2,140,188,30,41,True,True,False
9567_5,9567,claim_verification,True,1,2,192,169,43,38,True,True,False
68875_1,68875,factoid,True,1,2,120,8,26,2,True,True,False
68875_2,68875,event_summary,True,1,2,122,250,27,56,True,True,False
68875_3,68875,entity_role,True,1,2,101,194,21,41,True,True,False
68875_4,68875,cause_effect,True,1,2,103,212,23,47,True,True,False
68875_5,68875,unanswerable,False,0,2,139,0,32,0,True,False,False
179797_1,179797,factoid,True,1,2,130,68,29,15,True,True,False
179797_2,179797,event_summary,True,1,2,125,241,27,52,True,True,False
179797_3,179797,comparison,True,1,2,112,102,26,21,True,True,False
179797_4,179797,entity_role,True,1,2,136,108,29,23,True,True,False
179797_5,179797,unanswerable,False,0,2,145,0,32,0,True,False,False
